time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,0.041712,0.010445,0.00086619,-0.048484,-0.94356,-0.0097407,-12.823,-25.668,-3.2363,-0.00044512,0.002577,-0.00038724,0,0,0,NaN,NaN,NaN,NaN,0
0.01,0.013896,0.013548,0.013896,0.041958,0.011272,-0.00070995,-0.048858,-0.94636,-0.0087974,-12.823,-25.668,-3.2363,-0.0016579,-0.0010659,0.00082813,-0.18817,-0.18781,-0.18665,0.99422,0.0068605,0.0068605,0.0068605,0.01843
0.02,0.015744,0.015295,0.015699,0.042567,0.011173,-0.014323,-0.049607,-0.9529,-0.0084201,-12.909,-25.478,-3.0672,-0.00044615,0.0001478,0.00083318,-0.10629,-0.10306,-0.0093231,0.99395,0.0077641,0.0077543,0.0077414,0.020539
0.03,0.016351,0.015811,0.016171,0.04308,0.010232,-0.013429,-0.049607,-0.95327,-0.0097407,-12.909,-25.478,-3.0672,0.0007694,-0.001063,0.00083438,-0.097969,-0.094621,0.064588,0.99391,0.0080615,0.0080184,0.0079716,0.020725
0.04,0.014444,0.013877,0.014277,0.043001,0.0088076,0.021906,-0.048858,-0.9458,-0.010495,-12.65,-25.953,-3.3209,-0.00044334,0.00015452,0.00083175,-0.10102,-0.097329,0.092021,0.99442,0.0071319,0.0070277,0.0070482,0.020735
0.05,0.013519,0.01284,0.013398,0.042623,0.010037,0.01988,-0.048671,-0.94954,-0.0091747,-12.65,-25.953,-3.3209,0.0007722,-0.0022743,0.0020471,-0.1025,-0.10125,0.10261,0.99438,0.0066782,0.0065003,0.0066181,0.020732
0.06,0.012975,0.012152,0.012954,0.042369,0.011468,0.020698,-0.049419,-0.95253,-0.0082315,-12.65,-25.573,-3.5745,-0.00044438,-0.0010606,-0.00037998,-0.10313,-0.10217,0.10357,0.99437,0.0064114,0.0061515,0.0064008,0.020729
0.07,0.012671,0.011637,0.012771,0.042402,0.011697,0.020957,-0.049794,-0.95551,-0.0087974,-12.65,-25.573,-3.5745,0.00077117,0.00015306,-0.00037878,-0.10203,-0.10116,0.10321,0.99413,0.006261,0.0058924,0.006311,0.020727
0.08,0.013317,0.011977,0.013173,0.044307,0.01061,0.0010282,-0.050542,-0.95663,-0.0089861,-12.564,-26.048,-3.1518,-0.00044541,0.00015258,0.00083656,-0.10301,-0.099205,0.10404,0.99334,0.0065746,0.0060714,0.0065024,0.020726
0.09,0.013845,0.012189,0.013437,0.042526,0.010943,0.0026323,-0.049607,-0.95477,-0.0091747,-12.564,-26.048,-3.1518,0.0019843,0.0001521,0.00084158,-0.101,-0.097807,0.10323,0.99259,0.0068303,0.0061854,0.0066263,0.020725
0.1,0.013619,0.011656,0.013475,0.043847,0.010582,0.027498,-0.050355,-0.9529,-0.0097407,-12.564,-25.763,-3.6591,-0.00044643,0.00015928,0.00084276,-0.10002,-0.097554,0.10063,0.99228,0.0067174,0.0059184,0.0066454,0.020725
0.11,0.013411,0.011106,0.013616,0.043906,0.0095024,0.029877,-0.050729,-0.94935,-0.010684,-12.564,-25.763,-3.6591,-0.00044502,-0.0010592,-0.0015882,-0.098911,-0.097258,0.096976,0.992,0.0066141,0.0056424,0.0067163,0.020724
0.12,0.014041,0.011343,0.013942,0.043728,0.010762,0.0055168,-0.050916,-0.95253,-0.009552,-12.823,-25.858,-3.4054,0.00077052,0.0013763,-0.00037286,-0.097757,-0.093626,0.096476,0.99153,0.0069213,0.005768,0.0068718,0.020724
0.13,0.014794,0.011738,0.014255,0.04253,0.013216,0.0018211,-0.049981,-0.95943,-0.0074768,-12.823,-25.858,-3.4054,0.00077192,-0.0010564,-0.00037169,-0.096665,-0.093068,0.095212,0.99114,0.0072897,0.0059729,0.0070205,0.020724
0.14,0.015314,0.01181,0.014484,0.043938,0.0091389,0.010546,-0.050916,-0.95775,-0.010684,-12.65,-25.858,-3.49,-0.00044466,0.00016111,0.00084746,-0.095862,-0.091103,0.093705,0.99106,0.0075454,0.0060124,0.0071317,0.020724
0.15,0.015843,0.01187,0.01472,0.043665,0.0090826,0.011407,-0.051103,-0.95645,-0.010684,-12.65,-25.858,-3.49,0.001985,0.00016061,0.0020589,-0.093007,-0.089199,0.092752,0.99114,0.0078073,0.0060449,0.0072472,0.020724
0.16,0.01557,0.011249,0.015326,0.042095,0.011183,0.041718,-0.050542,-0.95813,-0.0082315,-12.477,-25.763,-3.6591,-0.00044569,-0.002272,0.00084595,-0.092455,-0.089455,0.089858,0.99146,0.0076749,0.0057314,0.0075536,0.020724
0.17,0.015487,0.010804,0.016032,0.043994,0.011298,0.039407,-0.05129,-0.96037,-0.0086088,-12.477,-25.763,-3.6591,-0.00044811,-0.0010584,-0.0015812,-0.091258,-0.08729,0.085901,0.99196,0.0076378,0.0055066,0.0079095,0.020724
