time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,0.049542,-0.0051091,0.00023515,-0.016368,0.99199,-0.0097742,12.513,31.704,23.704,-0.0040696,0.0063189,-0.00066155,0,0,0,NaN,NaN,NaN,NaN,0
0.01,0.010869,0.010656,0.010869,0.037229,-0.01525,0.019262,-0.021064,0.9916,-0.0086454,12.513,31.704,23.704,0.0068589,-0.0070378,0.0017612,0.0024858,-0.0060003,-0.00062713,0.99552,0.0053812,0.0053812,0.0053812,0.01843
0.02,0.012102,0.011746,0.012055,0.038772,-0.021202,0.032276,-0.015429,0.99391,-0.011091,12.689,31.704,24.046,-0.0089265,0.011177,-0.0018792,-0.0056133,0.0056812,-0.00095699,0.99617,0.0059925,0.0059311,0.005969,0.020539
0.03,0.013389,0.012835,0.013293,0.035199,-0.015118,0.038954,-0.020688,0.98775,-0.0093979,12.689,31.704,24.046,0.009286,-0.0082485,0.0017654,0.0038527,-0.004059,0.0011309,0.99596,0.0066246,0.0064872,0.0065767,0.020725
0.04,0.016165,0.015208,0.01606,0.046546,-0.01071,0.054843,-0.015992,0.99718,-0.010151,13.041,32.192,23.619,-0.0089258,0.0063201,-0.00066849,-0.0056874,0.0028188,0.0017254,0.99671,0.007995,0.0076927,0.0079423,0.020735
0.05,0.017232,0.015867,0.017059,0.046586,-0.0064263,0.037528,-0.020312,0.98737,-0.0088335,13.041,32.192,23.619,0.0056442,-0.0046074,0.0029722,0.0011105,-0.0025732,0.0040189,0.99694,0.008522,0.0080297,0.008435,0.020732
0.06,0.017817,0.015877,0.01741,0.049733,-0.0056556,0.025881,-0.016556,0.99872,-0.0099624,12.513,31.899,23.619,-0.0052818,0.0051035,-0.00067576,-0.0040619,0.0024563,0.0012704,0.99691,0.0088118,0.0080389,0.0086074,0.020729
0.07,0.018101,0.015499,0.017526,0.044563,-0.0083813,0.027211,-0.019561,0.98467,-0.010715,12.513,31.899,23.619,0.0032147,-0.0033947,0.002965,3.0742e-05,-0.0019199,0.0027442,0.99677,0.0089534,0.0078523,0.0086647,0.020727
0.08,0.018666,0.015198,0.01798,0.045729,-0.0099779,0.033712,-0.016556,0.99814,-0.0080809,12.601,31.802,23.704,-0.00042554,0.00024559,0.00053498,-0.0010022,-0.00054344,0.001752,0.9968,0.0092349,0.0077055,0.0088904,0.020726
0.09,0.019245,0.014799,0.018722,0.041708,-0.016245,0.047163,-0.017683,0.98602,-0.011091,12.601,31.802,23.704,-0.0028572,0.0014605,-0.00068085,-0.0030712,0.00049103,0.00062781,0.99678,0.0095222,0.0075117,0.0092595,0.020725
0.1,0.019962,0.014538,0.01973,0.04003,-0.01253,0.053655,-0.018434,0.99583,-0.0078928,12.777,31.997,23.619,0.0044298,-0.0033982,0.0017496,0.001293,-0.0023213,0.0022929,0.99685,0.0098778,0.0073884,0.0097616,0.020725
0.11,0.020491,0.013948,0.020235,0.043545,-0.013822,0.041905,-0.018058,0.98852,-0.011656,12.777,31.997,23.619,-0.0077131,0.0051035,-0.0018984,-0.0057332,0.0024108,0.00042958,0.99689,0.010143,0.0070976,0.010015,0.020724
0.12,0.02104,0.013432,0.020625,0.043917,-0.0083267,0.036754,-0.019937,0.99295,-0.0082691,12.689,31.899,23.362,0.0080748,-0.0058269,0.0017462,0.0029193,-0.0034434,0.0021842,0.99693,0.010418,0.006843,0.010211,0.020724
0.13,0.021399,0.0126,0.020289,0.046435,-0.0088556,0.017975,-0.017683,0.99199,-0.010903,12.689,31.899,23.362,-0.0077125,0.0087465,-0.0031159,-0.0051772,0.004643,-0.00038642,0.99699,0.010604,0.0064255,0.010047,0.020724
0.14,0.021546,0.011644,0.019482,0.042665,-0.007979,0.0065015,-0.020124,0.9916,-0.0080809,12.689,31.899,23.875,0.0080745,-0.0070395,-0.00067774,0.0031143,-0.0035672,-0.00045632,0.99696,0.010684,0.0059431,0.0096486,0.020724
0.15,0.022304,0.011035,0.020077,0.045358,-0.010952,0.039368,-0.016368,0.99583,-0.0093979,12.689,31.899,23.875,-0.0077109,0.0051037,-0.0018936,-0.0049703,0.0022291,-0.00097658,0.99697,0.011063,0.0056447,0.0099467,0.020724
0.16,0.022912,0.010396,0.020807,0.041211,-0.010753,0.043615,-0.019185,0.98737,-0.0093979,12.777,31.997,23.704,0.005645,-0.0070379,0.0017472,0.0016042,-0.0044009,0.0015573,0.99698,0.011368,0.0053314,0.010313,0.020724
0.17,0.023697,0.009785,0.021612,0.045088,-0.010332,0.04438,-0.016556,0.99487,-0.0097742,12.777,31.997,23.704,-0.005282,0.0038882,-0.0006713,-0.0037274,0.0011095,0.00085537,0.99703,0.011761,0.0050334,0.010716,0.020724
0.18,0.024351,0.009095,0.022317,0.043167,-0.011454,0.043263,-0.01881,0.98717,-0.010527,12.689,31.704,23.448,0.0032164,-0.0033959,0.00053346,0.00036972,-0.0023028,0.0014113,0.99705,0.012089,0.0046951,0.01107,0.020724
0.19,0.025124,0.0085194,0.023096,0.045536,-0.008611,0.044104,-0.017307,0.99756,-0.0080809,12.689,31.704,23.448,-0.0016389,0.00024438,0.0017498,-0.0016009,-0.00063615,0.0024152,0.99709,0.012477,0.0044155,0.011461,0.020724
0.2,0.025844,0.0077855,0.023895,0.045638,-0.01252,0.045415,-0.016556,0.98948,-0.010903,12.777,31.704,23.704,-0.0016395,0.0026744,-0.0018982,-0.002135,0.0013394,0.00021996,0.99712,0.012839,0.0040567,0.011863,0.020724
0.21,0.026458,0.0070707,0.024599,0.043636,-0.010718,0.042938,-0.018058,0.99468,-0.0084572,12.777,31.704,23.704,0.0032183,-0.0046116,0.0017502,0.00097071,-0.0029017,0.0018345,0.99714,0.013148,0.0037066,0.012218,0.020724
0.22,0.027144,0.0063206,0.025947,0.044095,-0.013309,0.058067,-0.016368,0.98987,-0.011091,12.953,31.704,23.448,-0.0064963,0.0038911,-0.00068742,-0.0046572,0.0014745,0.0015832,0.99721,0.013494,0.0033436,0.012895,0.020724
0.23,0.027651,0.0056652,0.026536,0.041911,-0.0088875,0.041027,-0.019749,0.99237,-0.0084572,12.953,31.704,23.448,0.0068605,-0.0058232,0.0029572,0.0026311,-0.0037027,0.0035981,0.99725,0.013751,0.0030223,0.013193,0.020724
0.24,0.028352,0.0049544,0.026512,0.047546,-0.01004,0.027291,-0.015804,0.99506,-0.0095861,12.601,31.997,23.704,-0.0052825,0.0075342,-0.0031152,-0.0032376,0.0038903,-0.00084596,0.99726,0.014105,0.0026705,0.013185,0.020724
0.25,0.02888,0.0042956,0.026499,0.043491,-0.0094915,0.028787,-0.019749,0.98987,-0.0093979,12.601,31.997,23.704,0.0056442,-0.0070358,-0.00069242,0.0022553,-0.0038437,-0.00084538,0.99724,0.014373,0.0023437,0.013183,0.020724
0.26,0.029556,0.0036677,0.027013,0.045661,-0.0099504,0.040699,-0.016368,0.99603,-0.010151,12.777,31.899,23.704,-0.006495,0.0051045,-0.0031224,-0.0041833,0.0021377,-0.0018028,0.99727,0.014714,0.0020372,0.013443,0.020724
0.27,0.030084,0.0030378,0.028023,0.041864,-0.011327,0.052524,-0.019749,0.98929,-0.010151,12.777,31.899,23.704,0.0032157,-0.0033927,0.0017326,0.00033522,-0.0019083,0.0009685,0.99727,0.01498,0.0017326,0.013951,0.020724
0.28,0.030767,0.002435,0.029481,0.044786,-0.01161,0.062588,-0.016931,0.99737,-0.0086454,12.865,31.802,23.448,-0.00042367,0.0026748,-0.00068968,-0.00057059,0.0011614,0.00081467,0.9973,0.015325,0.0014464,0.014683,0.020724
0.29,0.031265,0.0018266,0.030135,0.042882,-0.010926,0.045689,-0.018434,0.98929,-0.0088335,12.865,31.802,23.448,-0.0016421,-0.00096486,0.00052281,-0.0017898,-0.00043617,0.0014447,0.99733,0.015578,0.0011503,0.015014,0.020725
0.3,0.031819,0.0013209,0.030643,0.044483,-0.0087843,0.042756,-0.017495,0.99603,-0.0082691,12.777,31.899,23.448,0.0020053,-0.0021822,-0.00068149,0.00045191,-0.0017107,0.00060983,0.99736,0.015859,0.00090502,0.015272,0.020725
0.31,0.032375,0.00076173,0.03105,0.045238,-0.010622,0.041258,-0.017119,0.98814,-0.010903,12.777,31.899,23.448,-0.0028565,0.0038943,-0.0031115,-0.002191,0.001906,-0.0012244,0.99738,0.01614,0.00063236,0.015479,0.020725
0.32,0.032759,0.00027027,0.030382,0.042722,-0.008601,0.017914,-0.019749,0.99391,-0.0084572,12.513,31.802,24.046,0.0068625,-0.005824,0.0029691,0.0035438,-0.0034898,0.00074396,0.99736,0.016336,0.00038363,0.01515,0.020725
0.33,0.033338,-0.00024008,0.029833,0.04718,-0.0097376,0.019671,-0.015992,0.99199,-0.0097742,12.513,31.802,24.046,-0.0077125,0.0063232,-0.00067889,-0.0044924,0.0031627,-0.000804,0.99736,0.016628,0.00012773,0.01488,0.020725
0.34,0.033725,-0.00062632,0.029849,0.043008,-0.0077209,0.031352,-0.0205,0.99006,-0.0086454,12.777,31.802,23.533,0.0080764,-0.0070386,0.0029695,0.0036679,-0.0039755,0.0021274,0.99737,0.016825,-6.2776e-05,0.014892,0.020725
0.35,0.034316,-0.001065,0.03017,0.047479,-0.0091318,0.037219,-0.015992,0.9941,-0.0099624,12.777,31.802,23.533,-0.008926,0.0075359,-0.00068229,-0.0052471,0.0038292,0.0008778,0.9974,0.017123,-0.00027543,0.015056,0.020725
