time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,0.060585,0.021549,0.0012576,-0.054515,-0.77531,0.0006333,-4.0026,-25.128,0.52055,-0.00017378,-0.00041882,5.9898e-05,0,0,0,NaN,NaN,NaN,NaN,0
0.01,0.0255,0.024307,0.0255,0.058781,0.024852,-0.014343,-0.055071,-0.80407,0.0034802,-4.0026,-25.128,0.52055,-0.001395,0.002007,5.9709e-05,-0.18588,-0.18381,-0.185,0.98863,0.012449,0.012449,0.012449,0.01843
0.02,0.020487,0.019691,0.020473,0.058182,0.021484,0.02211,-0.053958,-0.79683,0.0012027,-3.6538,-25.408,0.35395,-0.00017649,0.00079797,6.3354e-05,-0.10455,-0.1017,-0.01016,0.99166,0.010057,0.01003,0.01005,0.020539
0.03,0.018924,0.018157,0.018916,0.059185,0.021473,0.023091,-0.054143,-0.79386,0.00082309,-3.6538,-25.408,0.35395,-0.0013901,-0.00041869,0.0012811,-0.097005,-0.094226,0.064219,0.99267,0.0093063,0.0092325,0.0093025,0.020725
0.04,0.016963,0.016184,0.017152,0.062467,0.021671,0.047344,-0.055442,-0.7805,0.0015823,-3.6538,-25.502,0.27065,-0.00017538,0.0020109,6.6776e-05,-0.098649,-0.096312,0.091497,0.9932,0.0083541,0.008218,0.0084489,0.020735
0.05,0.016,0.015117,0.016475,0.061719,0.022204,0.043953,-0.0547,-0.77846,0.0021516,-3.6538,-25.502,0.27065,-0.001389,0.00079043,0.0012845,-0.10144,-0.099249,0.10205,0.99319,0.0078832,0.0076743,0.008121,0.020732
0.06,0.013544,0.012619,0.014888,0.058899,0.021392,0.082222,-0.0547,-0.79869,0.0010129,-3.5666,-25.408,0.020747,-0.0013923,-0.00042621,0.0012882,-0.10018,-0.10282,0.10328,0.99402,0.0066843,0.0063968,0.0073568,0.020729
0.07,0.011897,0.010882,0.014319,0.058682,0.022685,0.079327,-0.054143,-0.79071,0.0013925,-3.5666,-25.408,0.020747,-0.00017755,-0.00043253,0.0025021,-0.09856,-0.10348,0.10404,0.99434,0.0058756,0.0055139,0.0070864,0.020727
0.08,0.012465,0.011228,0.015203,0.059309,0.020946,0.028075,-0.054143,-0.79813,0.00082309,-3.6538,-25.502,0.35395,-0.00017699,0.00078298,-0.0011444,-0.099873,-0.10022,0.10296,0.99355,0.0061495,0.0056966,0.0075173,0.020726
0.09,0.013362,0.011903,0.016246,0.059296,0.023594,0.01941,-0.055071,-0.80147,0.0025312,-3.6538,-25.502,0.35395,0.0010377,0.00078817,-0.0011408,-0.099089,-0.098136,0.10207,0.99261,0.0065831,0.0060489,0.0080231,0.020725
0.1,0.01314,0.011491,0.016848,0.058282,0.0221,0.050025,-0.054515,-0.80908,0.0010129,-3.8282,-25.408,0.18735,-0.00139,0.00078568,7.6925e-05,-0.098402,-0.097899,0.099921,0.99227,0.0064706,0.0058444,0.008321,0.020725
0.11,0.012629,0.010773,0.017518,0.059022,0.019686,0.061818,-0.054886,-0.79961,-0.00088505,-3.8282,-25.408,0.18735,0.0010388,-0.0016374,7.6682e-05,-0.095378,-0.098662,0.09769,0.99207,0.006217,0.0054839,0.0086556,0.020724
0.12,0.013605,0.011498,0.018457,0.058447,0.021865,0.015655,-0.054515,-0.7985,0.00082309,-3.3923,-25.502,0.35395,-0.0013889,0.0020063,0.0012906,-0.096988,-0.093793,0.098495,0.99146,0.0066912,0.0058599,0.0091104,0.020724
0.13,0.01449,0.012109,0.019291,0.058378,0.021386,0.018532,-0.055071,-0.80945,0.00025371,-3.3923,-25.502,0.35395,0.0022541,-0.00042827,7.6199e-05,-0.094051,-0.092911,0.096439,0.99104,0.0071213,0.0061773,0.0095149,0.020724
0.14,0.015135,0.012416,0.020071,0.059526,0.018385,0.02722,-0.055257,-0.80203,-0.0016442,-3.5666,-25.502,0.35395,0.0010366,-0.00042692,7.9791e-05,-0.092689,-0.091724,0.093865,0.99091,0.0074361,0.0063391,0.0098974,0.020724
0.15,0.015959,0.012901,0.020817,0.059045,0.019739,0.021519,-0.054886,-0.7959,-0.00050546,-3.5666,-25.502,0.35395,-0.00017693,0.00078857,7.5706e-05,-0.092401,-0.089046,0.092053,0.9909,0.0078395,0.0065909,0.010262,0.020724
0.16,0.015783,0.012533,0.022,0.057827,0.022491,0.059474,-0.055071,-0.80499,0.0023414,-4.0026,-25.502,0.18735,-0.00017637,0.0019964,-0.0011425,-0.090681,-0.086844,0.088578,0.99119,0.0077526,0.0064067,0.010854,0.020724
0.17,0.015205,0.011639,0.023505,0.059387,0.017622,0.080561,-0.055628,-0.80852,-0.0020238,-4.0026,-25.502,0.18735,-0.00017582,-0.0016485,7.5241e-05,-0.08852,-0.08782,0.08573,0.99184,0.0074715,0.005955,0.011613,0.020724
0.18,0.015686,0.011751,0.024591,0.060375,0.018775,0.044415,-0.055257,-0.79572,-0.00069526,-3.5666,-25.783,0.27065,-0.00017143,-0.00043299,7.8837e-05,-0.087581,-0.085094,0.08468,0.99251,0.0077115,0.0060144,0.012157,0.020724
0.19,0.016498,0.012236,0.025528,0.060786,0.021337,0.034298,-0.055071,-0.79609,0.0006333,-3.5666,-25.783,0.27065,-0.00016705,0.0019967,0.0012927,-0.086456,-0.080991,0.084173,0.99331,0.0081155,0.0062622,0.012629,0.020724
0.2,0.01768,0.012951,0.026039,0.059454,0.018623,0.018842,-0.055442,-0.80926,-0.0012646,-3.741,-25.315,0.43725,-0.00016653,-0.0016444,-0.0011396,-0.085683,-0.080122,0.081651,0.99424,0.0087044,0.0066257,0.012888,0.020724
0.21,0.018659,0.013427,0.026644,0.059154,0.017262,0.027082,-0.054886,-0.7985,-0.0025932,-3.741,-25.315,0.43725,-0.00017367,-0.00043274,7.4271e-05,-0.084129,-0.077733,0.079799,0.9954,0.0091969,0.0068663,0.013198,0.020724
0.22,0.019334,0.013753,0.027614,0.059499,0.020869,0.041548,-0.055442,-0.80908,0.0006333,-3.9154,-25.408,0.27065,-0.00016929,0.0007751,0.001292,-0.082021,-0.075356,0.07802,0.99678,0.0095411,0.0070294,0.013697,0.020724
0.23,0.01961,0.013569,0.029008,0.059175,0.017191,0.061734,-0.055814,-0.8139,-0.0031626,-3.9154,-25.408,0.27065,-0.00017259,-0.00043765,8.1457e-05,-0.079737,-0.074384,0.073962,0.99839,0.0096908,0.0069351,0.014415,0.020724
0.24,0.019279,0.012777,0.031526,0.062856,0.017296,0.10011,-0.057113,-0.79961,-0.002783,-3.741,-25.408,0.020747,-0.00017204,-0.00043244,8.12e-05,-0.076489,-0.073827,0.069117,1.0002,0.0095414,0.0065367,0.015706,0.020724
0.25,0.019065,0.012072,0.034138,0.062891,0.017134,0.10198,-0.056742,-0.78422,-0.002783,-3.741,-25.408,0.020747,-0.0001715,0.00077924,8.4777e-05,-0.074252,-0.071286,0.06629,1.0022,0.0094503,0.0061835,0.01705,0.020724
