time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,0.066613,0.025994,0.0013826,-0.070839,-0.92762,0.004901,15.152,-40.26,-0.49158,0.0010026,0.00085217,-0.002567,0,0,0,NaN,NaN,NaN,NaN,0
0.01,0.02105,0.020239,0.02105,0.063662,0.02917,0.013204,-0.068585,-0.93455,0.0080994,15.152,-40.26,-0.49158,0.0010033,-0.0003685,-0.00013832,-0.18523,-0.18607,-0.18593,0.99076,0.01032,0.01032,0.01032,0.01843
0.02,0.022228,0.021321,0.022219,0.065022,0.028431,0.005306,-0.069524,-0.93224,0.0079113,15.064,-40.26,-0.57708,-0.00021017,0.00085448,-0.0013482,-0.10418,-0.10205,-0.010429,0.99082,0.010893,0.010878,0.010889,0.020539
0.03,0.023006,0.021988,0.022945,0.066683,0.02905,0.0043951,-0.071027,-0.93782,0.0080994,15.064,-40.26,-0.57708,-0.0002095,-0.0015765,0.0010767,-0.096477,-0.094663,0.064835,0.99071,0.011269,0.011224,0.011239,0.020725
0.04,0.021637,0.020634,0.021702,0.068103,0.029677,0.036104,-0.071215,-0.92974,0.0094165,14.888,-39.968,-0.40609,-0.0014192,0.00085292,0.0010771,-0.099636,-0.096815,0.09293,0.99095,0.010608,0.010524,0.01064,0.020735
0.05,0.020777,0.019712,0.02107,0.068139,0.030188,0.038849,-0.071778,-0.93686,0.010169,14.888,-39.968,-0.40609,-0.0002082,0.00085023,-0.0013469,-0.10096,-0.098972,0.10104,0.99089,0.01019,0.010052,0.010336,0.020732
0.06,0.021352,0.020087,0.021625,0.066807,0.029763,0.013398,-0.07159,-0.93647,0.0090402,15.24,-39.968,-0.49158,-0.00020754,-0.0003551,-0.00012851,-0.10189,-0.10005,0.10452,0.99041,0.010465,0.010252,0.010601,0.020729
0.07,0.022106,0.020587,0.022257,0.067738,0.029518,0.009275,-0.073093,-0.94205,0.0080994,15.24,-39.968,-0.49158,-0.001421,-0.00035781,-0.00012811,-0.10276,-0.099675,0.10503,0.98977,0.010825,0.010518,0.0109,0.020727
0.08,0.022268,0.020543,0.022593,0.068574,0.031216,0.026294,-0.072717,-0.94321,0.010733,15.152,-40.553,-0.49158,-0.0002139,-0.00036051,-0.00013154,-0.10118,-0.099305,0.10405,0.98921,0.010897,0.010505,0.011059,0.020726
0.09,0.022473,0.020533,0.023039,0.06887,0.032017,0.02821,-0.073281,-0.93609,0.010922,15.152,-40.553,-0.49158,0.0022151,-0.00035937,-0.00013495,-0.098308,-0.098334,0.10277,0.98862,0.010989,0.010509,0.011272,0.020725
0.1,0.024491,0.022118,0.023988,0.068837,0.030663,-0.025087,-0.073469,-0.94167,0.0092283,14.888,-40.358,-0.91907,-0.00020872,0.0008559,-0.00014219,-0.10013,-0.094615,0.10277,0.98756,0.01196,0.011339,0.011708,0.020725
0.11,0.026433,0.023592,0.02465,0.070115,0.030242,-0.025627,-0.074784,-0.93686,0.008852,14.888,-40.358,-0.91907,-0.0014222,-0.00035711,0.0010686,-0.10081,-0.09314,0.10249,0.98662,0.012893,0.012112,0.012003,0.020724
0.12,0.027729,0.024519,0.025059,0.067894,0.032711,-0.009142,-0.074032,-0.95148,0.011298,15.416,-40.26,-0.83358,-0.0002074,-0.00035215,-0.00014895,-0.098797,-0.092342,0.099671,0.98603,0.013516,0.012599,0.012183,0.020724
0.13,0.029267,0.025569,0.025244,0.067213,0.030125,-0.019126,-0.072154,-0.93763,0.0084757,15.416,-40.26,-0.83358,-0.0014209,0.00086311,0.0010657,-0.098667,-0.089631,0.098595,0.98555,0.014259,0.013148,0.012251,0.020724
