time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,0.0031531,0.016393,6.5492e-05,-0.0086315,-0.67538,-0.002958,-20.175,-35.203,-24.315,-0.0008576,0.0015847,0.00081139,0,0,0,NaN,NaN,NaN,NaN,0
0.01,0.0097591,0.0095925,0.0097591,0.0060897,0.024559,-0.0079986,-0.010878,-0.69241,0.0027548,-20.175,-35.203,-24.315,-0.00085489,0.00036936,-0.0016195,-0.18845,-0.1877,-0.18891,0.99624,0.0048377,0.0048377,0.0048377,0.01843
0.02,0.0078131,0.0077011,0.0078165,0.0043996,0.021278,0.0025222,-0.0093804,-0.67762,0.00085053,-20.175,-35.203,-24.667,-0.00085219,0.00036819,-0.00040403,-0.10676,-0.10468,-0.011745,0.99781,0.003883,0.0038741,0.0038847,0.020539
0.03,0.0097035,0.0095737,0.0097007,0.01043,0.031873,-0.010547,-0.012376,-0.63905,0.007325,-20.175,-35.203,-24.667,0.00036081,-0.00084711,-0.00040659,-0.098226,-0.097352,0.063018,0.99708,0.0048143,0.004824,0.004813,0.020725
0.04,0.01043,0.010336,0.010429,0.010694,0.030238,-0.0083186,-0.012189,-0.63943,0.0063729,-20.52,-35.101,-24.491,0.00157,0.00036587,0.00081267,-0.10099,-0.099537,0.092438,0.99623,0.0051684,0.0052143,0.005168,0.020735
0.05,0.01077,0.010744,0.010768,0.010936,0.028825,-0.0074066,-0.012376,-0.64093,0.0056112,-20.52,-35.101,-24.491,0.0015689,0.00036855,0.00081394,-0.10331,-0.10144,0.10254,0.99549,0.0053315,0.005425,0.0053306,0.020732
0.06,0.01126,0.011344,0.011186,0.0083752,0.030827,-0.013749,-0.011814,-0.66021,0.0071346,-20.175,-34.795,-24.491,0.00035359,-0.00085059,0.0008152,-0.1046,-0.10313,0.10518,0.99487,0.0055692,0.0057323,0.0055324,0.020729
0.07,0.010744,0.010865,0.010637,0.0050125,0.020044,-0.0036998,-0.0095676,-0.65066,-0.00048245,-20.175,-34.795,-24.491,0.0015705,-0.00085174,0.0020306,-0.10383,-0.10306,0.1053,0.99463,0.0053142,0.0054897,0.0052604,0.020727
0.08,0.010661,0.01087,0.010608,0.011399,0.025228,-0.0013554,-0.012937,-0.65272,0.0033261,-20.175,-35.203,-24.667,0.0015732,-0.0020632,-0.00040026,-0.10282,-0.10305,0.10337,0.99398,0.0052694,0.0054954,0.0052429,0.020726
0.09,0.0097694,0.0099517,0.0099386,0.0052404,0.015448,0.010926,-0.0097548,-0.66789,-0.0035293,-20.175,-35.203,-24.667,0.00035788,-0.0008502,-0.000399,-0.10279,-0.10148,0.10086,0.99367,0.004829,0.0050313,0.0049135,0.020725
0.1,0.0097433,0.00988,0.00976,0.0085922,0.017247,-0.0053791,-0.01144,-0.65085,-0.0021963,-20.434,-35.203,-24.843,-0.00086122,0.0015769,0.00081257,-0.10296,-0.098143,0.10031,0.99317,0.0048141,0.0049973,0.0048225,0.020725
0.11,0.009523,0.0096576,0.0095016,0.0041256,0.018174,-0.0019594,-0.0091931,-0.67388,-0.001625,-20.434,-35.203,-24.843,0.00035564,-0.0008525,-0.00039647,-0.10143,-0.098041,0.098001,0.99275,0.0047039,0.0048862,0.0046932,0.020724
0.12,0.0093693,0.0094818,0.0092554,0.0036337,0.016295,-0.0038815,-0.0091931,-0.68923,-0.002958,-20.175,-35.203,-24.403,0.00035452,-0.0020639,0.00081892,-0.10027,-0.097628,0.096931,0.99241,0.004627,0.0047984,0.0045702,0.020724
0.13,0.0097287,0.010065,0.0093485,0.0067967,0.026584,-0.014026,-0.011065,-0.675,0.0038973,-20.175,-35.203,-24.403,0.0003534,-0.0032792,0.00081634,-0.098964,-0.097177,0.096192,0.99195,0.0048015,0.0050957,0.004612,0.020724
0.14,0.01008,0.010532,0.0091981,0.0059429,0.021168,-0.017056,-0.010129,-0.66433,0.00085053,-20.262,-35.407,-24.403,-0.00086569,0.00036204,-0.00039655,-0.098658,-0.093181,0.093551,0.99173,0.0049738,0.0053328,0.0045343,0.020724
0.15,0.010917,0.011719,0.0092451,0.010824,0.031619,-0.028045,-0.013686,-0.65927,0.0077058,-20.262,-35.407,-24.403,0.00035502,-0.00085325,-0.00039146,-0.09665,-0.091387,0.092435,0.99147,0.0053845,0.0059343,0.0045509,0.020724
0.16,0.010919,0.01212,0.0093584,0.0076953,0.030886,-0.0031,-0.012001,-0.66283,0.0071346,-20.175,-34.999,-24.403,0.00035389,-0.00084672,-0.00039023,-0.095083,-0.089694,0.090356,0.9915,0.0053846,0.0061368,0.0046061,0.020724
0.17,0.011026,0.012527,0.0094093,0.010419,0.027594,-0.0043599,-0.012937,-0.65796,0.004659,-20.175,-34.999,-24.403,-0.0020755,0.0003701,-0.00038899,-0.095296,-0.086761,0.088174,0.99178,0.0054378,0.0063405,0.0046312,0.020724
0.18,0.011559,0.013401,0.0092005,0.0098654,0.029487,-0.021374,-0.012376,-0.65572,0.0065633,-20.348,-35.203,-24.403,0.0015658,0.0015907,0.00082638,-0.091944,-0.083583,0.087248,0.99223,0.0057034,0.0067786,0.0045255,0.020724
0.19,0.01171,0.013631,0.0088149,0.0056626,0.019523,-0.011937,-0.0093804,-0.67257,-0.00048245,-20.348,-35.203,-24.403,0.0015685,-0.00083874,0.00082377,-0.090044,-0.08285,0.084481,0.99306,0.0057842,0.0068883,0.0043367,0.020724
0.2,0.011792,0.013807,0.0084625,0.0056478,0.019319,-0.009522,-0.0097548,-0.6677,-0.00048245,-20.348,-35.101,-24.403,-0.00085704,0.00037805,-0.00038914,-0.090002,-0.080297,0.081413,0.99408,0.005832,0.0069689,0.0041653,0.020724
0.21,0.011697,0.013724,0.0081027,0.0031818,0.015949,-0.0048573,-0.0084443,-0.66695,-0.002958,-20.348,-35.101,-24.403,0.00035214,0.00038453,0.00082623,-0.088072,-0.078055,0.079502,0.99533,0.0057934,0.0069171,0.0039921,0.020724
0.22,0.011724,0.013765,0.0077533,0.0058583,0.016188,-0.00617,-0.009942,-0.67257,-0.0025771,-20.348,-35.101,-24.403,-0.00085928,0.00037948,0.00082745,-0.087063,-0.075828,0.077668,0.99672,0.0058162,0.0069271,0.0038235,0.020724
0.23,0.011747,0.014069,0.0074069,0.0044754,0.022219,-0.0094797,-0.0093804,-0.68024,0.00085053,-20.348,-35.101,-24.403,-0.0020784,0.00037828,0.00083251,-0.086375,-0.073909,0.075933,0.99823,0.0058368,0.0070681,0.0036555,0.020724
0.24,0.011661,0.014153,0.0071377,0.0047498,0.018832,-0.0039909,-0.0088187,-0.66714,-0.0010537,-20.262,-34.999,-24.667,-0.00085767,-0.00083322,0.00082988,-0.083922,-0.072848,0.073333,0.99993,0.0058048,0.0070972,0.0035274,0.020724
0.25,0.011883,0.014917,0.0068429,0.0087883,0.02966,-0.013932,-0.011814,-0.64916,0.005992,-20.262,-34.999,-24.667,-0.0008588,0.0016015,0.00083109,-0.081678,-0.069517,0.072173,1.0016,0.005926,0.0074658,0.0033828,0.020724
0.26,0.011959,0.015399,0.0065552,0.006569,0.025711,-0.0096648,-0.010691,-0.66976,0.0033261,-20.348,-34.999,-24.403,0.00035039,0.0016041,0.00082847,-0.079178,-0.066794,0.070333,1.0035,0.0059753,0.0076916,0.0032432,0.020724
0.27,0.012092,0.016126,0.0062688,0.0076319,0.030522,-0.012667,-0.012001,-0.66489,0.0067537,-20.348,-34.999,-24.403,0.00035695,-0.0020395,-0.0015986,-0.077007,-0.067137,0.067152,1.0054,0.0060534,0.0080384,0.0031028,0.020724
0.28,0.01232,0.01693,0.0057951,0.0082105,0.030146,-0.017896,-0.011814,-0.66096,0.0065633,-20.434,-35.101,-24.491,-0.00085449,-0.00082661,-0.00037941,-0.075895,-0.064965,0.065576,1.0073,0.0061808,0.0084204,0.0028671,0.020724
0.29,0.012577,0.017464,0.0052855,0.010302,0.024096,-0.015579,-0.012937,-0.66002,0.0025644,-20.434,-35.101,-24.491,-0.00085179,0.00038248,-0.0016,-0.0742,-0.061741,0.06254,1.0094,0.0063244,0.0086668,0.0026132,0.020724
