time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,0.059541,0.013009,0.00028256,-0.006491,0.99801,0.008253,22.767,28.559,16.264,-0.0046886,0.0011712,-0.0011213,0,0,0,NaN,NaN,NaN,NaN,0
0.01,0.018541,0.018174,0.018541,0.047059,0.0079127,0.016287,-0.011969,0.9982,0.01466,22.767,28.559,16.264,0.009881,-0.0012569,0.0025285,0.005759,-0.0010424,0.0012692,0.99915,0.0091784,0.0091784,0.0091784,0.01843
0.02,0.018956,0.018444,0.018863,0.049343,-0.0015254,0.025366,-0.0055465,0.99838,0.0088183,23.139,28.397,16.719,-0.0010441,-0.0036812,-0.0011143,0.00088603,-0.0023445,-0.00052892,0.9994,0.0093853,0.0093149,0.0093389,0.020539
0.03,0.020049,0.019314,0.019823,0.044749,0.0073802,0.031004,-0.012347,0.99671,0.013341,23.139,28.397,16.719,0.0025982,-4.2516e-05,9.5706e-05,0.001349,0.00025209,-0.00082962,0.99906,0.0099197,0.0097628,0.0098057,0.020725
0.04,0.022777,0.021675,0.022423,0.058073,0.0082951,0.048784,-0.0051687,0.99726,0.0091951,23.436,28.963,16.264,0.0013875,-0.0012565,9.5404e-05,0.00096868,-0.00015359,0.00078387,0.99976,0.011265,0.010964,0.011086,0.020735
0.05,0.023759,0.022331,0.023178,0.05566,0.01454,0.030528,-0.011969,0.99838,0.01221,23.436,28.963,16.264,-0.0022587,0.004822,0.0013131,-0.0021795,0.0041432,0.0016403,0.99993,0.01175,0.0113,0.011456,0.020732
0.06,0.024548,0.022674,0.023553,0.061101,0.016282,0.021425,-0.0057354,0.99782,0.01221,22.544,28.478,16.112,0.0050272,-3.0642e-05,9.4791e-05,0.0023668,0.0020966,0.00030024,0.99997,0.012141,0.011478,0.011637,0.020729
0.07,0.024916,0.022516,0.023569,0.0538,0.012585,0.023958,-0.011214,0.99801,0.010326,22.544,28.478,16.112,-0.0046886,0.0011798,9.8323e-05,-0.0033333,0.0021917,-0.00020634,0.99983,0.012324,0.011402,0.011643,0.020727
0.08,0.025988,0.022895,0.024519,0.056315,0.011729,0.043567,-0.0066799,0.99764,0.013906,22.916,28.155,15.809,0.0074539,-0.0024626,0.0025225,0.0035968,-0.00011124,0.0024824,1.0001,0.012856,0.011601,0.012113,0.020726
0.09,0.026983,0.023018,0.025713,0.05193,0.0030188,0.060057,-0.0085689,0.99801,0.0084414,22.916,28.155,15.809,-0.003476,-0.0012483,-0.0023267,-0.0019922,-0.00040576,0.00016752,1.0002,0.013347,0.011675,0.012705,0.020725
