time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0.22022,0.000033,0.092327,-0.995728,-0.001554,0.000033,0.092327,-0.995728,-0.001554,-3.144693,0.000221,-2.956676,-0.013576,0.037798,-0.01794,0.105194,1.046222,0.012276,-37.927181,31.918125,0.616265,-8.978252,-2.867828,-15.380685,32.865036
0.23023,0.00004,0.093864,-0.995582,-0.002406,0.00004,0.093864,-0.995582,-0.002406,-3.14639,0.000372,-2.953588,-0.013738,0.024494,-0.02257,0.105568,1.036298,0.021036,-38.003838,31.918125,0.853487,-7.378252,-3.702611,-18.093727,32.865036
0.24024,0.000678,0.095695,-0.995404,-0.003479,0.000678,0.095695,-0.995404,-0.003479,-3.148649,-0.000683,-2.949906,0.015578,-0.015164,-0.040339,0.079171,0.990052,0.04522,-38.003838,31.918125,0.853487,-5.013035,-4.815654,-20.806772,32.840034
0.25025,0.001765,0.097584,-0.995215,-0.004704,0.001765,0.097584,-0.995215,-0.004704,-3.151301,-0.002595,-2.946098,0.037337,-0.027558,-0.049773,0.053336,0.970393,0.061977,-38.310448,31.579535,0.932561,-4.456513,-3.563481,-19.902424,32.852535
0.26026,0.002882,0.099274,-0.99504,-0.00569,0.002882,0.099274,-0.99504,-0.00569,-3.153489,-0.004605,-2.942685,0.031301,-0.023449,-0.036667,0.052774,0.973201,0.05436,-38.310448,31.579535,0.932561,-3.62173,-0.22435,-18.024162,32.840034
0.27027,0.003674,0.10043,-0.994916,-0.00645,0.003674,0.10043,-0.994916,-0.00645,-3.155165,-0.006014,-2.940348,0.009278,-0.004784,-0.014716,0.067751,0.995669,0.035698,-38.540409,31.41024,1.169783,-4.94347,3.532172,-12.737206,32.852535
0.28028,0.004119,0.101226,-0.994832,-0.006824,0.004119,0.101226,-0.994832,-0.006824,-3.156005,-0.006813,-2.938739,-0.009051,-0.010923,0.004934,0.086285,0.993048,0.016656,-38.540409,31.41024,1.169783,-3.899991,5.340868,-9.954597,32.865036
0.29029,0.004285,0.101733,-0.994779,-0.006871,0.004285,0.101733,-0.994779,-0.006871,-3.156135,-0.007128,-2.937716,-0.018931,-0.018341,0.015615,0.09808,0.987056,0.00504,-38.310448,31.579535,1.090709,-2.02173,5.271302,-7.867641,32.852535
0.3003,0.004061,0.101909,-0.994763,-0.00665,0.004061,0.101909,-0.994763,-0.00665,-3.155651,-0.006724,-2.937367,-0.018388,-0.018086,0.026147,0.098641,0.986495,-0.007719,-38.310448,31.579535,1.090709,-0.908687,4.506085,-4.180685,32.865036
0.31031,0.003551,0.101995,-0.994759,-0.006242,0.003551,0.101995,-0.994759,-0.006242,-3.154736,-0.005791,-2.937203,-0.01468,-0.030471,0.031421,0.098641,0.972078,-0.016097,-38.693714,31.325592,1.090709,0.065226,3.532172,-2.719815,32.852535
0.32032,0.002889,0.101867,-0.994777,-0.005754,0.002889,0.101867,-0.994777,-0.005754,-3.15363,-0.004575,-2.937473,-0.011189,-0.027545,0.034336,0.095833,0.972827,-0.022191,-38.693714,31.325592,1.090709,0.204357,3.184345,-0.076337,32.852535
0.33033,0.002302,0.101613,-0.994807,-0.005332,0.002302,0.101613,-0.994807,-0.005332,-3.15267,-0.003496,-2.937992,0.002684,-0.034853,0.027261,0.084413,0.960844,-0.017811,-38.387104,31.07165,1.090709,0.343487,2.558259,2.01062,32.852535
0.34034,0.001954,0.101255,-0.994845,-0.005108,0.001954,0.101255,-0.994845,-0.005108,-3.152152,-0.002854,-2.938716,0.009873,-0.024967,0.020733,0.075801,0.967584,-0.01286,-38.387104,31.07165,1.090709,-1.047817,3.393041,3.819316,32.865036
0.35035,0.001898,0.100856,-0.994886,-0.005047,0.001898,0.100856,-0.994886,-0.005047,-3.152018,-0.002759,-2.93952,0.004144,-0.013122,0.016676,0.079733,0.979567,-0.009623,-38.310448,31.325592,0.932561,-2.299991,4.43652,3.888881,32.852535
0.36036,0.001919,0.100521,-0.99492,-0.005085,0.001919,0.100521,-0.99492,-0.005085,-3.152096,-0.002796,-2.940193,-0.001605,0.002647,0.01418,0.082915,0.996231,-0.007528,-38.310448,31.325592,0.932561,-3.065208,4.57565,3.123663,32.852535
0.37037,0.001976,0.100295,-0.994943,-0.005111,0.001976,0.100295,-0.994943,-0.005111,-3.15216,-0.002907,-2.940647,-0.003174,0.005545,0.01204,0.084413,0.999601,-0.005814,-38.233795,31.41024,0.853487,-2.578252,4.088694,1.732359,32.865036
0.38038,0.002301,0.100216,-0.994949,-0.005268,0.002301,0.100216,-0.994949,-0.005268,-3.152537,-0.003522,-2.9408,0.008037,-0.011682,-0.00252,0.076737,0.979754,0.009039,-38.233795,31.41024,0.853487,-1.673904,3.184345,0.41062,32.852535
0.39039,0.002961,0.100086,-0.994958,-0.005701,0.002961,0.100086,-0.994958,-0.005701,-3.153529,-0.00475,-2.941053,0.029277,-0.008098,-0.017244,0.054272,0.978256,0.025415,-38.157143,31.664183,1.011635,-2.508687,3.601737,2.080185,32.852535
