time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,0.040403,0.0028619,0.0008391,-0.050027,-0.99898,-0.0179,-18.573,-43.027,-7.1337,0.00042816,-0.00041078,-0.0013515,0,0,0,NaN,NaN,NaN,NaN,0
0.01,0.017553,0.016992,0.017553,0.043214,0.0018919,-0.023875,-0.052784,-0.99786,-0.01865,-18.669,-43.252,-6.5908,0.00043064,-0.0016236,-0.00013688,-0.18622,-0.18747,-0.18657,0.99245,0.0086354,0.0086354,0.0086354,0.01843
0.02,0.016755,0.016225,0.016701,0.037688,0.0023465,-0.022129,-0.047269,-1.002,-0.017712,-18.669,-43.252,-6.5908,-0.00078486,-0.0004082,-0.00013644,-0.10662,-0.10293,-0.010322,0.99346,0.0082549,0.0082338,0.0082275,0.020539
0.03,0.014946,0.014415,0.014781,0.038295,0.0020065,-0.0021212,-0.047269,-1.0007,-0.018462,-18.381,-42.69,-6.9528,0.00042793,-0.0016249,-0.00013601,-0.098261,-0.094976,0.062901,0.9946,0.0073791,0.0073004,0.0072964,0.020725
0.04,0.013468,0.012821,0.013216,0.039922,0.0010967,0.010186,-0.049108,-1.0091,-0.019025,-18.381,-42.69,-6.9528,-0.00078373,-0.00040944,0.0010786,-0.10207,-0.097246,0.091759,0.99492,0.0066573,0.0064868,0.006531,0.020735
0.05,0.01252,0.011672,0.012191,0.038596,0.0012288,0.012313,-0.047637,-1.0065,-0.01865,-18.285,-42.802,-6.9528,0.00043288,-0.00040432,-0.00014282,-0.10371,-0.099522,0.10089,0.99494,0.0061928,0.0059032,0.0060282,0.020732
0.06,0.012761,0.011581,0.012147,0.043425,-0.00090563,-0.0013246,-0.053519,-1.0113,-0.021277,-18.285,-42.802,-6.9528,0.00043918,-0.00039921,-0.00014621,-0.10408,-0.10001,0.1036,0.99463,0.0063109,0.0058595,0.0060038,0.020729
0.07,0.012948,0.01138,0.012031,0.041037,0.00037048,0.0010091,-0.051129,-1.0082,-0.020714,-18.381,-42.915,-7.0432,0.00044163,0.00081236,-0.00014574,-0.10372,-0.099041,0.10362,0.99425,0.0064023,0.0057613,0.0059437,0.020727
0.08,0.013348,0.011312,0.012106,0.048341,-0.0011046,0.0049347,-0.057379,-1.0078,-0.021277,-18.381,-42.915,-7.0432,-0.00077391,-0.00040051,0.0010689,-0.10379,-0.098543,0.1039,0.99362,0.0065969,0.0057319,0.0059766,0.020726
0.09,0.013878,0.011341,0.012192,0.04609,-0.00071991,0.00088568,-0.056092,-1.0089,-0.021465,-18.285,-43.027,-6.8623,0.00044268,-0.0016134,0.0010616,-0.10257,-0.098248,0.10311,0.99293,0.0068555,0.0057524,0.0060134,0.020725
0.1,0.014895,0.011791,0.012415,0.048183,-0.00022578,-0.01049,-0.057195,-1.0009,-0.021089,-18.285,-43.027,-6.8623,-0.00076903,-0.00040182,0.0010621,-0.10231,-0.09627,0.10189,0.99223,0.0073529,0.0059868,0.0061152,0.020725
0.11,0.015886,0.012178,0.012548,0.048272,9.7097e-06,-0.0096825,-0.058114,-1.0057,-0.020902,-18.477,-42.69,-6.9528,0.0016617,-0.00040438,0.0010626,-0.099767,-0.09461,0.10038,0.99159,0.0078378,0.0061894,0.0061723,0.020724
0.12,0.01676,0.012472,0.012539,0.042637,0.0021813,-0.010729,-0.052416,-1.0018,-0.01865,-18.477,-42.69,-6.9528,0.00044996,-0.00040694,0.0010669,-0.09919,-0.093253,0.098612,0.99109,0.0082659,0.0063435,0.0061612,0.020724
0.13,0.01748,0.01254,0.012499,0.045289,0.00040342,-0.002446,-0.05499,-1.0035,-0.020714,-18.285,-42.578,-7.0432,0.0016627,-0.0016236,-0.00014675,-0.096968,-0.092632,0.095621,0.99081,0.0086203,0.0063815,0.0061371,0.020724
0.14,0.018208,0.012664,0.012313,0.038975,0.0025637,-0.0082007,-0.048189,-1.0014,-0.017712,-18.285,-42.578,-7.0432,-0.00076318,0.00080211,0.0010717,-0.097291,-0.089854,0.094167,0.99069,0.00898,0.006446,0.006041,0.020724
0.15,0.019363,0.013155,0.012034,0.040887,0.0030815,-0.020689,-0.050578,-0.99973,-0.017149,-18.477,-42.802,-6.8623,0.00044953,-0.0004069,0.0010721,-0.095951,-0.088053,0.09303,0.99062,0.009551,0.0066966,0.0058966,0.020724
0.16,0.019722,0.012845,0.011829,0.036555,0.0010649,0.0041942,-0.047453,-1.0031,-0.018838,-18.477,-42.802,-6.8623,-0.00076603,-0.00040944,0.0010726,-0.095427,-0.086393,0.090917,0.99083,0.0097325,0.0065388,0.0057966,0.020724
0.17,0.020404,0.012861,0.011547,0.037375,0.0024463,-0.0060388,-0.046902,-1.0012,-0.0179,-18.381,-42.465,-6.6813,-0.0019778,-0.00040815,-0.00014111,-0.095327,-0.084335,0.088373,0.99119,0.010075,0.006545,0.0056566,0.020724
0.18,0.021501,0.013158,0.011076,0.041033,0.00074652,-0.017671,-0.050394,-1.0084,-0.019025,-18.381,-42.465,-6.6813,0.00044911,0.0020214,-0.0001445,-0.09245,-0.080505,0.086221,0.99174,0.010625,0.0066915,0.005421,0.020724
0.19,0.022273,0.013192,0.010747,0.039642,0.0019345,-0.006599,-0.048189,-1.0069,-0.01865,-18.573,-42.915,-7.0432,0.00045153,0.00080856,-0.00014788,-0.09016,-0.079293,0.083442,0.99259,0.011019,0.0067036,0.0052597,0.020724
