time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,0.036733,0.0067141,0.00076287,-0.035422,-0.76347,-0.010735,-15.266,-24.005,-2.4799,-0.00018851,-0.00035361,-0.0018985,0,0,0,NaN,NaN,NaN,NaN,0
0.01,0.012731,0.012441,0.012731,0.036302,0.0098576,-0.003524,-0.036376,-0.7915,-0.0084811,-15.266,-24.005,-2.4799,-0.0026124,0.0020758,-0.00068607,-0.18897,-0.1861,-0.18779,0.99479,0.0062927,0.0062927,0.0062927,0.01843
0.02,0.01264,0.012331,0.01259,0.036531,0.0078,-0.0040276,-0.036185,-0.78645,-0.0096078,-15.005,-24.005,-2.3941,-0.0013976,-0.00035138,0.0017444,-0.10713,-0.10327,-0.0094755,0.99546,0.0062526,0.0062323,0.0062276,0.020539
0.03,0.01284,0.012466,0.012692,0.036573,0.0082328,-0.0053138,-0.035804,-0.78664,-0.0096078,-15.005,-24.005,-2.3941,0.0010274,0.00086004,0.00053239,-0.097824,-0.093913,0.064028,0.99562,0.0063521,0.0063003,0.0062779,0.020725
0.04,0.011082,0.01066,0.010989,0.037887,0.0060058,0.024947,-0.035804,-0.76889,-0.010735,-15.005,-24.005,-2.6515,0.001028,-0.0015671,0.00053455,-0.099888,-0.098719,0.091489,0.99604,0.0054896,0.0053811,0.005443,0.020735
0.05,0.010168,0.00964,0.010182,0.036812,0.0073726,0.023276,-0.035231,-0.77487,-0.0096078,-15.005,-24.005,-2.6515,-0.0013997,0.00085844,0.00053286,-0.1036,-0.09998,0.1012,0.99597,0.0050391,0.004865,0.0050461,0.020732
0.06,0.010681,0.0099575,0.010518,0.035568,0.0077045,-0.0012369,-0.035613,-0.79038,-0.0097956,-15.005,-24.195,-2.4799,-0.00018499,0.00085956,-0.00067913,-0.10435,-0.10007,0.10349,0.99547,0.00529,0.005029,0.0052085,0.020729
0.07,0.011237,0.010283,0.010837,0.03578,0.0086213,-0.0020946,-0.035613,-0.78328,-0.0096078,-15.005,-24.195,-2.4799,-0.00018441,-0.00035729,0.00054099,-0.10417,-0.10042,0.10439,0.99485,0.0055617,0.0051982,0.0053616,0.020727
0.08,0.012024,0.010795,0.011206,0.03644,0.0074352,-0.0089866,-0.035613,-0.79206,-0.0099834,-14.917,-24.576,-2.2225,-0.00017999,-0.00036,0.0017611,-0.10414,-0.099307,0.10508,0.99397,0.0059453,0.0054634,0.0055365,0.020726
0.09,0.012807,0.011303,0.011494,0.035883,0.0090189,-0.0096945,-0.035422,-0.78178,-0.0090444,-14.917,-24.576,-2.2225,-0.0013897,-0.00035503,-0.00066892,-0.10435,-0.09805,0.1027,0.99308,0.0063268,0.0057266,0.0056709,0.020725
0.1,0.012784,0.010989,0.011424,0.035566,0.0081458,0.013316,-0.035231,-0.79113,-0.0099834,-15.354,-24.195,-2.8232,-0.0013853,0.0020744,-0.00066681,-0.10252,-0.096118,0.099611,0.99268,0.0063135,0.0055706,0.005635,0.020725
0.11,0.012723,0.01056,0.011383,0.036535,0.0056416,0.01726,-0.036185,-0.78608,-0.011861,-15.354,-24.195,-2.8232,-0.0013886,0.00085369,-0.0006647,-0.1011,-0.095264,0.097399,0.99233,0.0062823,0.0053565,0.0056143,0.020724
0.12,0.013547,0.011018,0.01153,0.035833,0.0086007,-0.0093555,-0.035994,-0.79057,-0.0096078,-15.005,-24.1,-2.3941,-0.00017778,-0.00036315,0.0005477,-0.099897,-0.093992,0.097455,0.99176,0.006686,0.0055929,0.00568,0.020724
0.13,0.014431,0.011544,0.011615,0.03564,0.0098025,-0.011205,-0.035804,-0.79262,-0.0088566,-15.005,-24.1,-2.3941,-0.00017338,0.0008483,0.00054597,-0.098716,-0.091604,0.096264,0.99132,0.0071191,0.0058635,0.005715,0.020724
0.14,0.01569,0.012325,0.011427,0.034926,0.0066905,-0.026688,-0.03504,-0.79449,-0.010735,-14.83,-24.1,-2.1367,-0.001387,0.00084562,0.00054808,-0.09879,-0.089212,0.094883,0.99099,0.0077391,0.0062624,0.0056135,0.020724
0.15,0.016855,0.012963,0.011109,0.034851,0.0058857,-0.024722,-0.034658,-0.77767,-0.01111,-14.83,-24.1,-2.1367,-0.0013864,0.00083912,0.00055019,-0.09785,-0.087184,0.093037,0.99087,0.0083147,0.0065867,0.0054487,0.020724
0.16,0.017081,0.012804,0.011149,0.03418,0.0093602,0.0097205,-0.035422,-0.79,-0.0082933,-14.917,-24.005,-2.4799,-0.00017558,0.0020544,-0.00066569,-0.095148,-0.085051,0.08974,0.99104,0.0084279,0.0065061,0.0054696,0.020724
0.17,0.017378,0.012658,0.01121,0.03521,0.0081624,0.0094964,-0.035231,-0.78944,-0.0096078,-14.917,-24.005,-2.4799,-0.0013853,0.0020518,0.00055055,-0.094136,-0.083039,0.087992,0.99144,0.008579,0.006431,0.0055014,0.020724
0.18,0.017924,0.012656,0.01115,0.03696,0.0056599,0.0026862,-0.035994,-0.78402,-0.010922,-15.179,-24.005,-2.5657,-0.00017065,-0.0015856,0.0017706,-0.091783,-0.083568,0.086643,0.99208,0.0088558,0.0064274,0.0054737,0.020724
0.19,0.01863,0.012944,0.011049,0.036936,0.0096114,-0.0036024,-0.035422,-0.78384,-0.0084811,-15.179,-24.005,-2.5657,0.001044,-0.00037413,-0.00066325,-0.089223,-0.081512,0.083382,0.99287,0.0092129,0.0065684,0.0054244,0.020724
0.2,0.018769,0.012634,0.011328,0.03593,0.0076251,0.019093,-0.035804,-0.79767,-0.0099834,-15.005,-24.1,-2.8232,-0.00016957,0.00084503,-0.00066116,-0.08762,-0.079167,0.079921,0.99397,0.0092921,0.006407,0.0055703,0.020724
0.21,0.018914,0.012299,0.011666,0.036236,0.0068397,0.020942,-0.035994,-0.7872,-0.010735,-15.005,-24.1,-2.8232,-0.00016521,-0.0015783,0.00055124,-0.085925,-0.078631,0.07819,0.99525,0.0093766,0.0062326,0.0057471,0.020724
0.22,0.019266,0.012277,0.011843,0.035373,0.0099347,0.012051,-0.035422,-0.79935,-0.0081055,-15.005,-24.005,-2.7373,-0.0013827,0.0032795,-0.00066465,-0.085334,-0.073576,0.075941,0.99663,0.0095644,0.0062151,0.0058424,0.020724
0.23,0.019605,0.012211,0.012027,0.035393,0.0093445,0.013626,-0.035994,-0.80514,-0.00942,-15.005,-24.005,-2.7373,-0.0013821,0.00084466,0.00054776,-0.083899,-0.07224,0.074494,0.99818,0.009748,0.0061744,0.0059429,0.020724
0.24,0.02133,0.013311,0.010604,0.037902,0.0079221,-0.046261,-0.036376,-0.78515,-0.0099834,-14.917,-23.815,-1.7935,-0.0013816,-0.0027966,0.00054987,-0.08366,-0.071122,0.075512,0.99966,0.010626,0.0067134,0.0052291,0.020724
0.25,0.022913,0.014259,0.0091543,0.037695,0.007365,-0.044075,-0.036185,-0.76945,-0.010171,-14.917,-23.815,-1.7935,-0.00016693,-0.00036716,0.00054813,-0.081426,-0.067683,0.074259,1.0013,0.011439,0.0071718,0.0045015,0.020724
0.26,0.023432,0.014238,0.0089865,0.03604,0.0068347,0.0017456,-0.035231,-0.77431,-0.010735,-14.83,-24.1,-2.3941,-0.00016257,0.0020585,0.0017605,-0.07857,-0.064705,0.071028,1.0031,0.011722,0.0071481,0.0044243,0.020724
0.27,0.023882,0.014184,0.0088532,0.034671,0.0074459,0.0026667,-0.035231,-0.77917,-0.0099834,-14.83,-24.1,-2.3941,-0.00015822,0.00084548,0.00054851,-0.07644,-0.063236,0.067872,1.0051,0.011971,0.0071078,0.0043649,0.020724
0.28,0.024319,0.014212,0.0087664,0.034965,0.0098549,0.0027651,-0.035613,-0.79785,-0.0082933,-15.005,-24.386,-2.5657,-0.00016539,0.0020608,-0.0018777,-0.074343,-0.060849,0.063563,1.0071,0.012216,0.0071084,0.0043286,0.020724
0.29,0.024786,0.014161,0.0087319,0.037114,0.0078269,0.0046166,-0.036567,-0.78776,-0.0097956,-15.005,-24.386,-2.5657,-0.0001687,-0.0027985,-0.0018794,-0.072268,-0.061993,0.060694,1.0092,0.012476,0.0070693,0.004319,0.020724
0.3,0.025175,0.014075,0.0087366,0.036115,0.0078609,0.0060179,-0.035613,-0.78459,-0.0096078,-14.83,-23.91,-2.4799,-0.00016433,-0.000369,0.00054714,-0.070444,-0.059233,0.060308,1.0112,0.012699,0.0070137,0.0043298,0.020725
0.31,0.025578,0.013978,0.0087196,0.036311,0.0073358,0.0061863,-0.035994,-0.79598,-0.010171,-14.83,-23.91,-2.4799,-0.00015998,0.00084247,0.00054541,-0.068553,-0.056206,0.058761,1.0133,0.01293,0.0069524,0.0043296,0.020725
0.32,0.02569,0.013678,0.0092388,0.035358,0.0078038,0.0212,-0.035422,-0.79337,-0.0092322,-15.005,-23.719,-2.8232,-0.00015564,-0.0040168,0.00055135,-0.066286,-0.057839,0.055925,1.0154,0.013012,0.0067941,0.0046041,0.020725
0.33,0.025884,0.013571,0.0096762,0.035917,0.010154,0.01776,-0.036185,-0.80346,-0.0081055,-15.005,-23.719,-2.8232,0.001059,-0.00037698,-0.0018748,-0.063428,-0.054533,0.052291,1.0175,0.013136,0.0067315,0.0048363,0.020725
0.34,0.026543,0.013874,0.0090871,0.036481,0.010785,-0.0095043,-0.036567,-0.79262,-0.0081055,-15.092,-23.815,-2.6515,0.0022736,-0.00037963,-0.00065478,-0.060556,-0.051939,0.051489,1.0195,0.0135,0.0068644,0.0045417,0.020725
0.35,0.0272,0.014116,0.0085055,0.037496,0.010037,-0.0088988,-0.036376,-0.77468,-0.0086689,-15.092,-23.815,-2.6515,-0.00015417,-0.0016002,-0.00065654,-0.059982,-0.050696,0.0499,1.0214,0.013863,0.0069676,0.00425,0.020725
0.36,0.027799,0.014376,0.0078762,0.036306,0.010948,-0.010132,-0.035994,-0.79542,-0.0079177,-14.917,-24.005,-2.6515,0.0010648,0.00083048,0.0017682,-0.057739,-0.047541,0.049816,1.0233,0.014197,0.0070786,0.0039324,0.020725
0.37,0.028328,0.014582,0.0072897,0.035402,0.011075,-0.0087755,-0.035994,-0.79542,-0.0079177,-14.917,-24.005,-2.6515,0.0010648,0.00083048,0.0017682,-0.055762,-0.045385,0.048582,1.0252,0.014496,0.0071628,0.003636,0.020725
0.38,0.028752,0.014682,0.007235,0.037661,0.012359,0.0034328,-0.036567,-0.78907,-0.0060398,-15.092,-23.91,-2.5657,0.0022798,0.0008291,-0.00066354,-0.053116,-0.043466,0.046097,1.027,0.014739,0.0071997,0.0036124,0.020725
0.39,0.029069,0.014725,0.0072727,0.036225,0.01248,0.005716,-0.036567,-0.78907,-0.0060398,-15.092,-23.91,-2.5657,0.0022798,0.0008291,-0.00066354,-0.05105,-0.041751,0.044162,1.0287,0.014926,0.0072097,0.0036367,0.020725
0.4,0.029543,0.014861,0.0070548,0.038639,0.012603,-0.00057201,-0.037331,-0.78234,-0.0066031,-14.917,-24.005,-2.7373,-0.00013985,0.002038,0.00054712,-0.050565,-0.039485,0.042413,1.0303,0.015195,0.0072634,0.0035279,0.020725
0.41,0.029882,0.014934,0.0068455,0.036043,0.012507,0.00022171,-0.036758,-0.80196,-0.0067909,-15.005,-24.1,-2.7373,0.0022927,0.0020393,-0.00067258,-0.047658,-0.037727,0.039956,1.0319,0.015394,0.0072871,0.0034238,0.020725
0.42,0.030223,0.015021,0.0066428,0.036492,0.012712,0.000296,-0.03714,-0.79617,-0.0064154,-15.005,-24.1,-2.7373,0.001079,-0.00038781,-0.00067813,-0.046366,-0.037817,0.038222,1.0334,0.015593,0.0073179,0.0033224,0.020725
0.43,0.030841,0.015303,0.0054626,0.037808,0.011948,-0.022618,-0.037522,-0.78832,-0.0069787,-15.266,-24.195,-2.3941,-0.001345,0.00082373,-0.00067598,-0.046732,-0.035497,0.038166,1.0348,0.015938,0.0074358,0.0027123,0.020725
0.44,0.031296,0.01544,0.0048202,0.037796,0.011969,-0.01075,-0.037331,-0.79,-0.0066031,-15.266,-24.195,-2.3941,0.0010837,-0.00038918,0.00054029,-0.044033,-0.034692,0.037973,1.0361,0.016196,0.0074879,0.0023805,0.020725
0.45,0.031702,0.015526,0.0044665,0.038382,0.012474,-0.0047853,-0.036949,-0.78122,-0.005852,-15.005,-24.005,-2.4799,0.0010841,0.00083386,0.0017527,-0.041987,-0.032836,0.037295,1.0373,0.016427,0.0075183,0.002198,0.020725
0.46,0.032177,0.015661,0.0037657,0.038394,0.012525,-0.013111,-0.037331,-0.78122,-0.0062276,-15.005,-24.005,-2.4799,0.0010845,0.0020454,0.00053689,-0.040231,-0.030486,0.035225,1.0385,0.016695,0.0075695,0.001834,0.020725
0.47,0.032374,0.01571,0.0038182,0.036512,0.014394,0.0036237,-0.036376,-0.80159,-0.004913,-15.092,-24.1,-2.8232,-0.00013307,-0.00281,0.00053519,-0.039404,-0.032687,0.03243,1.0395,0.016814,0.007586,0.0018623,0.020725
0.48,0.032585,0.015704,0.0039077,0.037499,0.013019,0.0047525,-0.037331,-0.79897,-0.005852,-15.092,-24.1,-2.8232,-0.001343,-0.00038434,0.0017476,-0.038848,-0.030719,0.031455,1.0405,0.01694,0.0075768,0.0019101,0.020725
0.49,0.032784,0.01565,0.0038581,0.036785,0.012001,0.0018971,-0.037331,-0.81486,-0.0067909,-15.005,-23.624,-2.7373,-0.00012841,-0.00038312,-0.00067466,-0.036929,-0.029171,0.028803,1.0414,0.017058,0.0075442,0.0018858,0.020725
0.5,0.032962,0.015631,0.0042713,0.038418,0.014025,0.011805,-0.037713,-0.80047,-0.0052886,-15.005,-23.624,-2.7373,-0.00012034,-0.0016037,0.00054161,-0.035273,-0.028797,0.028254,1.0423,0.017163,0.0075327,0.0021024,0.020725
0.51,0.033178,0.015662,0.0039502,0.036395,0.012966,-0.0038805,-0.037522,-0.81299,-0.005852,-14.83,-24.291,-2.3941,-0.00011613,-0.00038835,-0.0018922,-0.034069,-0.026757,0.026856,1.043,0.01729,0.0075397,0.0019356,0.020725
0.52,0.033496,0.015861,0.0031411,0.037326,0.015013,-0.015174,-0.037522,-0.80402,-0.0047252,-14.83,-24.291,-2.3941,-0.00011959,0.00082318,0.0017485,-0.03274,-0.024618,0.02829,1.0437,0.01747,0.0076231,0.001512,0.020725
0.53,0.033788,0.01605,0.0024194,0.037502,0.015392,-0.013484,-0.037713,-0.80832,-0.0039741,-15.092,-24.1,-2.4799,-0.0013372,-0.00038589,0.00053269,-0.032254,-0.02417,0.027004,1.0444,0.017636,0.007703,0.0011336,0.020725
0.54,0.034126,0.016222,0.0015843,0.03846,0.014975,-0.016777,-0.038095,-0.80495,-0.004913,-15.092,-24.1,-2.4799,-0.00011883,-0.00038851,-0.0018973,-0.03034,-0.023268,0.024051,1.0449,0.017825,0.0077736,0.00069533,0.020725
