time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,0,3.7439e-19,0,-0.065763,0.99433,-0.0047318,2.0787,20.672,-15.633,-0.0048911,-0.00016523,-0.0036243,0,0,0,NaN,NaN,NaN,NaN,0
0.01,0,-8.1315e-20,0,0,1.0842e-19,0,-0.058572,0.99433,0.0055707,2.3294,20.955,-15.633,-0.0036769,-0.00016477,-0.001196,-0.0059713,-0.0038266,-0.0044563,0.99038,0,-4.1052e-20,0,0.01843
0.02,0,1.6805e-18,0,0,3.2526e-19,0,-0.0547,0.99491,0.0088141,2.3294,20.955,-15.633,-0.0024654,-0.0013818,0.0060888,-0.0051927,-0.00075623,0.0023016,0.99049,0,8.4833e-19,0,0.020539
0.03,0,-3.7947e-19,0,0,-4.3368e-19,0,-0.056728,0.99819,0.0040444,2.5802,21.049,-15.548,0.0011744,-0.0025888,0.0085171,-0.003119,-0.00029715,0.0051232,0.98973,0,-1.917e-19,0,0.020725
0.04,0,-4.3368e-19,0,0,0,0,-0.062813,0.99684,-0.0011068,2.5802,21.049,-15.548,0.0036028,-0.0025851,0.0048747,-0.0013525,-0.00030633,0.0040629,0.98927,0,-2.1919e-19,0,0.020735
0.05,0,-1.5179e-18,0,0,2.1684e-19,0,-0.06687,0.99221,-0.003587,2.4966,21.049,-15.633,-3.6841e-05,-0.0037955,0.0012323,-0.0036706,-0.0013223,0.0020823,0.98912,0,-7.6729e-19,0,0.020732
0.06,0,1.1384e-18,0,0,3.2526e-19,0,-0.065948,0.99125,-0.0054949,2.4966,21.049,-15.633,-0.0012509,-0.0025809,-0.0060526,-0.0051154,-0.00091367,-0.0036051,0.98898,0,5.7555e-19,0,0.020729
0.07,0,0,0,0,-2.1684e-19,0,-0.064473,0.99588,-0.0037778,2.4966,20.766,-15.463,-0.0036791,0.0010619,-0.009695,-0.0070524,0.0018656,-0.0081515,0.98888,0,0,0,0.020727
0.08,0,-2.1684e-19,0,0,0,0,-0.062444,0.99607,0.00041948,2.4966,20.766,-15.463,-3.6596e-05,0.0010623,-0.0084809,-0.0049326,0.0029982,-0.0089013,0.98887,0,-1.0964e-19,0,0.020726
0.09,0,1.5721e-18,0,0,-2.1684e-19,0,-0.060047,0.99414,0.0030905,2.6638,20.86,-15.548,-3.6515e-05,0.0010627,-0.0024101,-0.0040601,0.0035653,-0.0058554,0.98877,0,7.9497e-19,0,0.020725
0.1,0,1.6263e-18,0,0,2.1684e-19,0,-0.058756,0.99337,0.0027089,2.6638,20.86,-15.548,-3.9112e-05,-0.0013652,0.0024464,-0.003646,0.002007,-0.0016556,0.98869,0,8.2245e-19,0,0.020725
0.11,0,9.7578e-19,0,0,0,0,-0.061891,0.99318,0.00061026,2.4966,20.86,-15.378,0.0011751,-0.00014735,0.0036606,-0.0028588,0.0021259,0.0015076,0.98873,0,4.9345e-19,0,0.020724
0.12,0,0,0,0,1.0842e-19,0,-0.063919,0.99395,-0.0012976,2.4966,20.86,-15.378,0.0023867,0.0010704,0.0012323,-0.0018659,0.0028128,0.0010011,0.98876,0,0,0,0.020724
0.13,0,7.5894e-19,0,0,0,0,-0.064104,0.9953,-0.0024423,2.1623,21.049,-15.463,-4.1516e-05,-0.0013575,1.8137e-05,-0.0031995,0.0011106,0.001612,0.98897,0,3.837e-19,0,0.020724
0.14,0,8.6736e-19,0,0,-5.421e-20,0,-0.062629,0.99241,-0.00053446,2.1623,21.049,-15.463,-0.0024697,-0.00014617,1.8137e-05,-0.0051428,0.0015173,0.001606,0.98917,0,4.3843e-19,0,0.020724
