time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,0.061448,-0.0027901,0.0002916,-0.0045911,0.99976,-0.0075278,20.061,37.95,-9.2256,-0.0012316,-0.00085453,0.00012808,0,0,0,NaN,NaN,NaN,NaN,0
0.01,0.016945,0.016611,0.016945,0.054652,-0.0143,0.024038,-0.0038487,1.0007,-0.007338,20.061,37.95,-9.2256,-2.5089e-05,0.0015726,0.0013457,-0.00058707,0.00038858,0.00024998,0.9984,0.0083887,0.0083887,0.0083887,0.01843
0.02,0.015887,0.015482,0.015835,0.049252,-0.017892,0.023917,-0.0051478,0.99976,-0.0075278,20.41,37.575,-9.2256,-2.501e-05,-0.00085296,0.00013493,-0.00031156,-0.00068486,-5.2258e-06,0.99797,0.007866,0.0078183,0.0078399,0.020539
0.03,0.017389,0.016691,0.017215,0.051804,-0.014041,0.037016,-0.0044055,1.0011,-0.0077176,20.41,37.575,-9.2256,-2.4931e-05,0.00036004,-0.0010758,-0.00012762,-0.00019096,-0.00091401,0.99782,0.008604,0.0084367,0.0085163,0.020725
0.04,0.018152,0.017051,0.017719,0.058438,-0.0086702,0.023167,-0.0042199,0.99939,-0.0077176,20.323,37.669,-9.059,-0.001239,-0.00085524,0.00014173,-0.00085877,-0.00085677,-0.00069464,0.99759,0.0089786,0.0086248,0.0087608,0.020735
0.05,0.018595,0.016947,0.017705,0.063519,-0.0054076,0.010817,-0.0036631,0.99976,-0.0075278,20.323,37.669,-9.059,0.0024035,0.0015719,0.0013593,0.0014934,0.00064578,0.00017061,0.99746,0.0091988,0.0085753,0.0087512,0.020732
0.06,0.018984,0.016648,0.017508,0.062325,-0.0037066,0.007204,-0.0040343,1.0001,-0.0077176,20.061,37.856,-8.8091,-0.0012388,-0.0020678,0.00014466,-0.00030608,-0.0013904,-0.00071783,0.99727,0.0093934,0.0084277,0.0086511,0.020729
0.07,0.01949,0.016303,0.017449,0.059909,-0.0060405,0.012593,-0.0045911,1.0001,-0.0080972,20.061,37.856,-8.8091,-2.0784e-05,0.0015696,0.0013545,-3.6821e-05,0.00049378,-5.2419e-05,0.99714,0.0096459,0.0082579,0.0086199,0.020727
0.08,0.0204,0.016187,0.018004,0.058107,-0.0098037,0.029685,-0.0042199,1.0001,-0.0075278,19.974,37.575,-9.1423,-2.0718e-05,0.00035438,-0.0010742,4.2462e-05,0.0002296,-0.0005096,0.99726,0.0101,0.0082052,0.0088948,0.020726
0.09,0.021443,0.016061,0.018909,0.055562,-0.013341,0.043077,-0.0042199,0.99939,-0.0077176,19.974,37.575,-9.1423,-0.0012348,-0.00086088,-0.0010785,-0.00078608,-0.0007143,-0.0006461,0.99736,0.010617,0.008151,0.0093437,0.020725
0.1,0.022178,0.01556,0.019238,0.05509,-0.012267,0.031545,-0.0034775,0.99976,-0.0069584,20.759,37.669,-9.2256,0.0024115,0.001574,-0.0022931,0.0015444,0.00076121,-0.0024754,0.99731,0.010984,0.0079053,0.0095069,0.020725
0.11,0.022803,0.014875,0.019092,0.057157,-0.010193,0.019426,-0.0047767,0.99958,-0.0077176,20.759,37.669,-9.2256,-0.0012308,0.00035484,0.00013096,-0.00035644,0.00031773,-0.0011857,0.99727,0.0113,0.0075644,0.0094351,0.020724
0.12,0.023767,0.014441,0.019354,0.059991,-0.0076169,0.026959,-0.0040343,1.0011,-0.0071482,20.149,38.137,-9.2256,0.0012013,0.0015717,0.00013055,0.00078714,0.0010474,-5.1257e-05,0.99734,0.011783,0.0073525,0.0095656,0.020724
0.13,0.024408,0.013679,0.018729,0.059876,-0.0052982,0.0048072,-0.0044055,0.99976,-0.007338,20.149,38.137,-9.2256,-0.0012269,-0.002068,0.00013397,-0.00057982,-0.0012641,0.00032403,0.99741,0.012109,0.0069694,0.0092571,0.020724
0.14,0.024989,0.012756,0.017806,0.059116,-0.0073092,-0.0024703,-0.0038487,1.0003,-0.007338,20.41,37.482,-9.1423,0.0012014,0.0015733,0.0013439,0.00072295,0.00056201,0.00061757,0.99741,0.012406,0.0065038,0.0088004,0.020724
0.15,0.025968,0.012143,0.018028,0.057833,-0.0091219,0.025355,-0.0040343,0.99976,-0.0071482,20.41,37.482,-9.1423,-1.2694e-05,-0.00085999,-0.001081,0.00026422,-0.00054646,-0.00096633,0.9974,0.012896,0.0062025,0.0089118,0.020724
