time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,0.053672,0.018817,0.0011143,-0.063161,-0.99664,-0.0019227,7.4641,-24.9,-4.449,0.0011807,0.003003,-0.00073685,0,0,0,NaN,NaN,NaN,NaN,0
0.01,0.017057,0.016527,0.017057,0.053894,0.022384,0.011229,-0.063539,-0.99924,0.0018461,7.4641,-24.9,-4.449,-0.0012437,0.00057308,-0.00073069,-0.18733,-0.18622,-0.18702,0.99269,0.0083952,0.0083952,0.0083952,0.01843
0.02,0.024484,0.023383,0.024374,0.05447,0.01919,-0.049059,-0.063728,-0.99589,-0.00079206,7.5384,-25.547,-4.9802,-0.0012474,0.00056793,0.0016999,-0.10703,-0.10109,-0.0076959,0.98976,0.011973,0.011956,0.011918,0.020539
0.03,0.026906,0.025509,0.026484,0.053349,0.019644,-0.046924,-0.062028,-0.99496,-0.00079206,7.5384,-25.547,-4.9802,-0.0012473,-0.00065133,-0.0043762,-0.10072,-0.092217,0.0625,0.98889,0.013134,0.013068,0.012922,0.020725
0.04,0.029868,0.027978,0.028791,0.054739,0.020274,-0.066032,-0.062973,-0.99496,0.00052701,7.3898,-25.223,-5.2078,0.0023952,-0.00064251,-0.00073527,-0.10335,-0.093557,0.09296,0.9872,0.01454,0.014375,0.014,0.020735
0.05,0.031683,0.029344,0.029724,0.053674,0.020839,-0.061578,-0.06165,-0.99105,0.0012808,7.3898,-25.223,-5.2078,0.0011735,-0.0030585,-0.00074445,-0.10641,-0.096859,0.10326,0.98605,0.015401,0.015102,0.01442,0.020732
0.06,0.031643,0.029007,0.028922,0.053052,0.020079,-0.031155,-0.062217,-0.99366,-3.8304e-05,7.4641,-25.708,-4.7525,-4.4311e-05,-0.0018426,0.0029003,-0.10655,-0.098318,0.10729,0.98597,0.015388,0.014927,0.014026,0.020729
0.07,0.03195,0.028898,0.028296,0.053087,0.021066,-0.03173,-0.062595,-0.99589,0.00015013,7.4641,-25.708,-4.7525,-0.0024725,0.00059439,0.0016809,-0.10782,-0.096541,0.10707,0.98567,0.01554,0.014873,0.013712,0.020728
0.08,0.036021,0.03198,0.029633,0.053541,0.020851,-0.12022,-0.061839,-0.99664,0.00090388,7.2412,-25.628,-5.5871,0.0023996,0.0005927,0.00046525,-0.10788,-0.091861,0.10838,0.98376,0.017479,0.016505,0.014285,0.020726
0.09,0.039541,0.034474,0.030039,0.052051,0.021764,-0.11711,-0.061461,-1.0002,0.0012808,7.2412,-25.628,-5.5871,-0.0012351,0.00059102,-0.00075036,-0.10975,-0.089669,0.10675,0.98216,0.019157,0.017828,0.014406,0.020725
0.1,0.042094,0.036047,0.029511,0.053282,0.020223,-0.098071,-0.061839,-0.9918,-0.00060362,7.2412,-25.547,-5.2078,-0.0012427,-0.0042535,0.00046998,-0.10866,-0.092305,0.1049,0.98117,0.020383,0.018658,0.014092,0.020725
0.11,0.044523,0.03742,0.028541,0.052178,0.018845,-0.099059,-0.06165,-0.99813,-0.0019227,7.2412,-25.547,-5.2078,-0.0024567,-0.00060935,-0.0019598,-0.10856,-0.089418,0.10147,0.98033,0.021555,0.019379,0.013566,0.020724
0.12,0.046099,0.038058,0.027245,0.051412,0.022089,-0.07316,-0.061084,-0.99794,0.0012808,7.6126,-25.466,-5.3595,-0.0012578,0.00059966,0.00047085,-0.10589,-0.087759,0.1,0.9799,0.022326,0.019708,0.012902,0.020724
0.13,0.048042,0.038903,0.025763,0.052984,0.019681,-0.083006,-0.062028,-0.99068,-0.0013574,7.6126,-25.466,-5.3595,-0.0024795,-0.0018269,0.00046937,-0.1054,-0.087308,0.098585,0.97955,0.023278,0.020141,0.012142,0.020724
0.14,0.049252,0.039093,0.02416,0.053343,0.019001,-0.058971,-0.062028,-0.98938,-0.0013574,8.0584,-25.304,-5.4354,0.0011592,-0.00060759,0.0016897,-0.10086,-0.086236,0.096563,0.97963,0.023888,0.020224,0.011343,0.020724
0.15,0.050256,0.039119,0.022604,0.051865,0.021402,-0.050483,-0.06165,-0.99813,0.0010923,8.0584,-25.304,-5.4354,-5.4722e-05,0.0030331,-0.00074393,-0.099082,-0.082604,0.092707,0.97992,0.024403,0.020218,0.010574,0.020724
0.16,0.051107,0.038965,0.021121,0.051884,0.021321,-0.042136,-0.062028,-0.9931,0.0016576,7.4641,-25.304,-5.056,-5.8382e-05,-0.0042637,0.0029047,-0.097867,-0.084902,0.093222,0.98031,0.024846,0.020118,0.0098454,0.020724
0.17,0.052552,0.039182,0.019289,0.053762,0.015574,-0.061941,-0.062595,-0.99087,-0.0045608,7.4641,-25.304,-5.056,-6.2031e-05,-0.0018337,0.0053353,-0.097142,-0.081753,0.094188,0.98083,0.025585,0.020202,0.0089356,0.020724
0.18,0.055633,0.040901,0.016524,0.051901,0.019584,-0.12551,-0.061084,-1.0024,-3.8304e-05,7.6869,-24.9,-6.0424,-0.0012798,-0.00062124,0.00047722,-0.0982,-0.077104,0.092037,0.9812,0.027129,0.021045,0.0075277,0.020724
0.19,0.058633,0.042586,0.013525,0.053359,0.021605,-0.12685,-0.061272,-0.99273,0.0010923,7.6869,-24.9,-6.0424,-6.1628e-05,0.003023,-0.0019564,-0.096473,-0.071962,0.088218,0.98184,0.028646,0.021856,0.0060044,0.020724
0.2,0.060167,0.042919,0.011132,0.053183,0.017481,-0.077139,-0.061839,-0.99403,-0.0026764,7.4641,-24.738,-5.2078,-5.76e-05,-0.0054709,0.00047039,-0.093568,-0.076401,0.084967,0.98301,0.02946,0.021968,0.0048153,0.020724
0.21,0.061404,0.043118,0.0088532,0.051843,0.019503,-0.070899,-0.060895,-0.9918,-0.00098049,7.4641,-24.738,-5.2078,-5.7418e-05,-0.0018335,-0.00074524,-0.091347,-0.074186,0.081438,0.98441,0.030136,0.022006,0.0036859,0.020724
