time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0.22022,0.211502,0.368219,-0.900179,-0.096738,0.211502,0.368219,-0.900179,-0.096738,2.787262,-0.314707,-2.308223,-0.07838,-0.091843,0.128994,-0.010878,1.00372,0.000279,-59.543407,19.898186,-25.082796,-0.659088,0.067742,0.264947,32.29002
0.23023,0.210936,0.382195,-0.893465,-0.10561,0.210936,0.382195,-0.893465,-0.10561,2.766459,-0.300712,-2.275677,-0.08499,-0.106637,0.134305,-0.010316,1.00166,0.000279,-59.62006,19.982832,-24.845573,-0.559519,0.137307,0.213805,32.277519
0.24024,0.208504,0.397374,-0.88609,-0.11604,0.208504,0.397374,-0.88609,-0.11604,2.744751,-0.280966,-2.2416,-0.091809,-0.122272,0.139009,-0.011065,0.999788,0.001612,-59.62006,19.982832,-24.845573,-0.527696,0.067742,0.17511,32.265018
0.25025,0.207162,0.410661,-0.879147,-0.124668,0.207162,0.410661,-0.879147,-0.124668,2.726333,-0.264948,-2.211477,-0.09691,-0.134358,0.142997,-0.011627,0.999601,0.001803,-59.850021,19.898186,-24.924648,-0.282778,0.137307,0.116574,32.277519
0.26026,0.206183,0.424174,-0.871931,-0.131538,0.206183,0.424174,-0.871931,-0.131538,2.711086,-0.250579,-2.18099,-0.10485,-0.146036,0.145313,-0.011627,1.00166,0.002755,-59.850021,19.898186,-24.924648,-0.124917,0.067742,0.0703,32.302517
0.27027,0.205078,0.436862,-0.865116,-0.136635,0.205078,0.436862,-0.865116,-0.136635,2.699741,-0.237682,-2.152732,-0.110749,-0.158121,0.145321,-0.011065,1.00166,0.002564,-59.696712,19.898186,-25.399092,0.095299,0.067742,0.01506,32.29002
0.28028,0.203726,0.449763,-0.858482,-0.138625,0.203726,0.449763,-0.858482,-0.138625,2.694476,-0.227039,-2.124586,-0.118071,-0.168492,0.141245,-0.011627,1.002409,0.001993,-59.696712,19.898186,-25.399092,0.103147,-0.001823,-0.082116,32.302517
0.29029,0.202938,0.461964,-0.852285,-0.137902,0.202938,0.461964,-0.852285,-0.137902,2.693744,-0.220287,-2.097823,-0.124937,-0.178054,0.133494,-0.011627,1.002035,0.001612,-59.62006,20.06748,-25.240944,0.108869,0.067742,-0.241373,32.29002
0.3003,0.20354,0.473445,-0.845895,-0.137415,0.20354,0.473445,-0.845895,-0.137415,2.691206,-0.215904,-2.071436,-0.130688,-0.186715,0.128908,-0.01144,1.002971,0.000851,-59.62006,20.06748,-25.240944,0.331997,0.067742,-0.276877,32.302517
0.31031,0.202708,0.484588,-0.839916,-0.136477,0.202708,0.484588,-0.839916,-0.136477,2.691266,-0.20978,-2.04678,-0.135962,-0.196256,0.122226,-0.010878,1.002409,0.00047,-60.233288,19.813538,-25.082796,0.204299,-0.001823,-0.165872,32.277519
0.32032,0.203065,0.495488,-0.83323,-0.137784,0.203065,0.495488,-0.83323,-0.137784,2.686105,-0.203255,-2.021365,-0.139244,-0.205799,0.11948,-0.011627,1.002222,0.001422,-60.233288,19.813538,-25.082796,0.274417,0.137307,-0.162508,32.277519
0.33033,0.203795,0.506482,-0.826018,-0.140134,0.203795,0.506482,-0.826018,-0.140134,2.678754,-0.195979,-1.995192,-0.141698,-0.217861,0.120747,-0.010878,1.002222,0.000851,-59.62006,20.06748,-24.924648,0.135746,-0.001823,-0.159714,32.302517
0.34034,0.203186,0.517134,-0.819143,-0.142453,0.203186,0.517134,-0.819143,-0.142453,2.673297,-0.186624,-1.970706,-0.143685,-0.229465,0.120344,-0.010691,1.00166,0.00047,-59.62006,20.06748,-24.924648,0.275265,-0.001823,-0.095766,32.29002
